Season,Team,Owner,Player Name,Position,NFL Team,,,,,,,,,
2013,Best Served Hot,Ed,Miles Austin,WR,DAL,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Robert Griffin III,QB,WAS,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Ryan Fitzpatrick,QB,TEN,,,,,,,,,
2013,Eat The Sandwich,Spencer,Heath Miller,TE,PIT,,,,,,,,,
2013,Salsa Dancing,Tom,Rueben Randle,WR,NYG,,,,,,,,,
2013,Gotham City Rogues,Dan,Danny Amendola,WR,NE,,,,,,,,,
2013,The Elite Eli's,Gavin,Marvin Jones,WR,CIN,,,,,,,,,
2013,Rapid City Monuments,TSizz,Aaron Dobson,WR,NE,,,,,,,,,
2013,The Thirteenth District,James,Philip Rivers,QB,LAC,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Denarius Moore,WR,LV,,,,,,,,,
2013,Team No College Yet,Dylan,Michael Floyd,WR,ARI,,,,,,,,,
2013,Team Charles,Charles,Alshon Jeffery,WR,DAL,,,,,,,,,
2013,Best Served Hot,Ed,Jacquizz Rodgers,RB,ATL,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,BenJarvus Green-Ellis,RB,CIN,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Brian Hartline,WR,MIA,,,,,,,,,
2013,Eat The Sandwich,Spencer,Marlon Brown,WR,BAL,,,,,,,,,
2013,Salsa Dancing,Tom,Chris Ivory,RB,NYJ,,,,,,,,,
2013,Gotham City Rogues,Dan,49ers D/ST,DEF,SF,,,,,,,,,
2013,The Elite Eli's,Gavin,Case Keenum,QB,HOU,,,,,,,,,
2013,Rapid City Monuments,TSizz,Eddie Royal,WR,LAC,,,,,,,,,
2013,The Thirteenth District,James,Bobby Rainey,RB,TB,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Issac Redman,RB,PIT,,,,,,,,,
2013,Team No College Yet,Dylan,Shonn Greene,RB,TEN,,,,,,,,,
2013,Team Charles,Charles,Sam Bradford,QB,LAR,,,,,,,,,
2013,Best Served Hot,Ed,Mike Tolbert,RB,CAR,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Ronnie Hillman,RB,DEN,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Kirk Cousins,QB,WAS,,,,,,,,,
2013,Eat The Sandwich,Spencer,Roy Helu,RB,WAS,,,,,,,,,
2013,Salsa Dancing,Tom,Doug Baldwin,WR,SEA,,,,,,,,,
2013,Gotham City Rogues,Dan,Matt Asiata,RB,MIN,,,,,,,,,
2013,The Elite Eli's,Gavin,Dolphins D/ST,DEF,MIA,,,,,,,,,
2013,Rapid City Monuments,TSizz,Titans D/ST,DEF,TEN,,,,,,,,,
2013,The Thirteenth District,James,Coby Fleener,TE,IND,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Joique Bell,RB,DET,,,,,,,,,
2013,Team No College Yet,Dylan,DeAndre Hopkins,WR,HOU,,,,,,,,,
2013,Team Charles,Charles,David Akers,K,DET,,,,,,,,,
2013,Best Served Hot,Ed,Santana Moss,WR,WAS,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Josh Brown,K,NYG,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Reggie Wayne,WR,IND,,,,,,,,,
2013,Eat The Sandwich,Spencer,Vikings D/ST,DEF,MIN,,,,,,,,,
2013,Salsa Dancing,Tom,Nate Burleson,WR,CLE,,,,,,,,,
2013,Gotham City Rogues,Dan,Dennis Johnson,RB,HOU,,,,,,,,,
2013,The Elite Eli's,Gavin,Brian Leonard,RB,TB,,,,,,,,,
2013,Rapid City Monuments,TSizz,Andy Dalton,QB,CIN,,,,,,,,,
2013,The Thirteenth District,James,Ladarius Green,TE,LAC,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Bilal Powell,RB,NYJ,,,,,,,,,
2013,Team No College Yet,Dylan,Mike Goodson,RB,NYJ,,,,,,,,,
2013,Team Charles,Charles,Daniel Thomas,RB,MIA,,,,,,,,,
2013,Best Served Hot,Ed,Andre Elington,RB,ARI,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Scott Chandler,TE,BUF,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Arian Foster,RB,HOU,,,,,,,,,
2013,Gotham City Rogues,Dan,Julio Jones,WR,ATL,,,,,,,,,
2013,The Thirteenth District,James,Randall Cobb,WR,GB,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Cam Newton,QB,CAR,,,,,,,,,
2014,Eat The Sandwich,Spencer,Andrew Luck,QB,IND,,,,,,,,,
2014,Salsa Dancing,Tom,Drew Brees,QB,NO,,,,,,,,,
2014,Gotham City Rogues,Dan,Mark Sanchez,QB,PHI,,,,,,,,,
2014,Johnny Clipboards,Gavin,Aaron Rodgers,QB,GB,,,,,,,,,
2014,Rapid City Monuments,TSizz,Colin Kaepernick,QB,SF,,,,,,,,,
2014,The Thirteenth District,James,Jay Cutler,QB,CHI,,,,,,,,,
2014,Two First Names,Spear,Matt Ryan,QB,ATL,,,,,,,,,
2014,Brookfield Brawlers,Rob,Ryan Tannehill,QB,MIA,,,,,,,,,
2014,Team Charles,Charles,Russell Wilson,QB,SEA,,,,,,,,,
2014,Team Foote Longs,Wes,Joe Flacco,QB,BAL,,,,,,,,,
2014,Paper Thin Walls,Geoff,Peyton Manning,QB,DEN,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Frank Gore,RB,IND,,,,,,,,,
2014,Eat The Sandwich,Spencer,Matt Forte,RB,DAL,,,,,,,,,
2014,Salsa Dancing,Tom,Jonathan Stewart,RB,CAR,,,,,,,,,
2014,Gotham City Rogues,Dan,Alfred Morris,RB,WAS,,,,,,,,,
2014,Johnny Clipboards,Gavin,Arian Foster,RB,HOU,,,,,,,,,
2014,Rapid City Monuments,TSizz,Denard Robinson,RB,JAX,,,,,,,,,
2014,The Thirteenth District,James,LeSean McCoy,RB,BUF,,,,,,,,,
2014,Two First Names,Spear,CJ Anderson,RB,DEN,,,,,,,,,
2014,Brookfield Brawlers,Rob,Branden Oliver,RB,LAC,,,,,,,,,
2014,Team Charles,Charles,Eddie Lacy,RB,GB,,,,,,,,,
2014,Team Foote Longs,Wes,Marshawn Lynch,RB,SEA,,,,,,,,,
2014,Paper Thin Walls,Geoff,Le'Veon Bell,RB,PIT,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Latavius Murray,RB,LV,,,,,,,,,
2014,Eat The Sandwich,Spencer,Giovani Bernard,RB,CIN,,,,,,,,,
2014,Salsa Dancing,Tom,Andre Williams,RB,NYG,,,,,,,,,
2014,Gotham City Rogues,Dan,Isaiah Crowell,RB,CLE,,,,,,,,,
2014,Johnny Clipboards,Gavin,Justin Forsett,RB,BAL,,,,,,,,,
2014,Rapid City Monuments,TSizz,Benjamin Cunningham,RB,LAR,,,,,,,,,
2014,The Thirteenth District,James,Joique Bell,RB,DET,,,,,,,,,
2014,Two First Names,Spear,Daniel Herron,RB,IND,,,,,,,,,
2014,Brookfield Brawlers,Rob,Tre Mason,RB,LAR,,,,,,,,,
2014,Team Charles,Charles,Mark Ingram,RB,NO,,,,,,,,,
2014,Team Foote Longs,Wes,Jamaal Charles,RB,KC,,,,,,,,,
2014,Paper Thin Walls,Geoff,Darren Sproles,RB,PHI,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Andre Johnson,WR,IND,,,,,,,,,
2014,Eat The Sandwich,Spencer,TY Hilton,WR,IND,,,,,,,,,
2014,Salsa Dancing,Tom,Matt Asiata,RB,MIN,,,,,,,,,
2014,Gotham City Rogues,Dan,Bishop Sankey,RB,TEN,,,,,,,,,
2014,Johnny Clipboards,Gavin,Brandon LaFell,WR,NE,,,,,,,,,
2014,Rapid City Monuments,TSizz,Torrey Smith,WR,SF,,,,,,,,,
2014,The Thirteenth District,James,DeMarco Murray,RB,PHI,,,,,,,,,
2014,Two First Names,Spear,Pierre Garcon,WR,WAS,,,,,,,,,
2014,Brookfield Brawlers,Rob,Dez Bryant,WR,DAL,,,,,,,,,
2014,Team Charles,Charles,Toby Gergart,RB,JAX,,,,,,,,,
2014,Team Foote Longs,Wes,Cordarrelle Patterson,WR,MIN,,,,,,,,,
2014,Paper Thin Walls,Geoff,Greg Jennings,WR,MIA,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Demaryius Thomas,WR,DEN,,,,,,,,,
2014,Eat The Sandwich,Spencer,Alshon Jeffery,WR,DAL,,,,,,,,,
2014,Salsa Dancing,Tom,AJ Green,WR,CIN,,,,,,,,,
2014,Gotham City Rogues,Dan,Jordy Nelson,WR,GB,,,,,,,,,
2014,Johnny Clipboards,Gavin,Antonio Brown,WR,PIT,,,,,,,,,
2014,Rapid City Monuments,TSizz,Jarius Wright,WR,MIN,,,,,,,,,
2014,The Thirteenth District,James,Doug Baldwin,WR,SEA,,,,,,,,,
2014,Two First Names,Spear,Calvin Johnson,WR,DET,,,,,,,,,
2014,Brookfield Brawlers,Rob,Julian Edelman,WR,NE,,,,,,,,,
2014,Team Charles,Charles,Randall Cobb,WR,GB,,,,,,,,,
2014,Team Foote Longs,Wes,Jeremy Maclin,WR,KC,,,,,,,,,
2014,Paper Thin Walls,Geoff,Julio Jones,WR,ATL,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Sammy Watkins,WR,BUF,,,,,,,,,
2014,Eat The Sandwich,Spencer,Jarvis Landry,WR,MIA,,,,,,,,,
2014,Salsa Dancing,Tom,Emmanuel Sanders,WR,DEN,,,,,,,,,
2014,Gotham City Rogues,Dan,Anquan Boldin,WR,SF,,,,,,,,,
2014,Johnny Clipboards,Gavin,Odell Beckham Jr.,WR,NYG,,,,,,,,,
2014,Rapid City Monuments,TSizz,Louis Murphy,WR,TB,,,,,,,,,
2014,The Thirteenth District,James,Rueben Randle,WR,NYG,,,,,,,,,
2014,Two First Names,Spear,Kelvin Benjamin,WR,CAR,,,,,,,,,
2014,Brookfield Brawlers,Rob,Robert Woods,WR,BUF,,,,,,,,,
2014,Team Charles,Charles,Michael Floyd,WR,ARI,,,,,,,,,
2014,Team Foote Longs,Wes,Malcom Floyd,WR,LAC,,,,,,,,,
2014,Paper Thin Walls,Geoff,DeSean Jackson,WR,WAS,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Julius Thomas,TE,JAX,,,,,,,,,
2014,Eat The Sandwich,Spencer,Mohamed Sanu,WR,CIN,,,,,,,,,
2014,Salsa Dancing,Tom,Mike Evans,WR,TB,,,,,,,,,
2014,Gotham City Rogues,Dan,Mike Willace,WR,MIN,,,,,,,,,
2014,Johnny Clipboards,Gavin,Vincent Jackson,WR,TB,,,,,,,,,
2014,Rapid City Monuments,TSizz,Wes Welker,WR,DEN,,,,,,,,,
2014,The Thirteenth District,James,Kendall Wright,WR,TEN,,,,,,,,,
2014,Two First Names,Spear,Marqise Lee,WR,JAX,,,,,,,,,
2014,Brookfield Brawlers,Rob,Delanie Walker,TE,TEN,,,,,,,,,
2014,Team Charles,Charles,Eric Decker,WR,NYJ,,,,,,,,,
2014,Team Foote Longs,Wes,Eddie Royal,WR,DAL,,,,,,,,,
2014,Paper Thin Walls,Geoff,James Jones,WR,LV,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Antonio Gates,TE,LAC,,,,,,,,,
2014,Eat The Sandwich,Spencer,Greg Olsen,TE,CAR,,,,,,,,,
2014,Salsa Dancing,Tom,Jimmy Graham,TE,SEA,,,,,,,,,
2014,Gotham City Rogues,Dan,Tim Wright,TE,NE,,,,,,,,,
2014,Johnny Clipboards,Gavin,Coby Fleener,TE,IND,,,,,,,,,
2014,Rapid City Monuments,TSizz,Zach Ertz,TE,PHI,,,,,,,,,
2014,The Thirteenth District,James,Jason Witten,TE,DAL,,,,,,,,,
2014,Two First Names,Spear,Mychal Rivera,TE,LV,,,,,,,,,
2014,Brookfield Brawlers,Rob,Luke Willson,TE,SEA,,,,,,,,,
2014,Team Charles,Charles,Charles Clay,TE,BUF,,,,,,,,,
2014,Team Foote Longs,Wes,Dwayne Allen,TE,IND,,,,,,,,,
2014,Paper Thin Walls,Geoff,Martellus Bennett,TE,DAL,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Lions D/ST,DEF,DET,,,,,,,,,
2014,Eat The Sandwich,Spencer,Broncos D/ST,DEF,DEN,,,,,,,,,
2014,Salsa Dancing,Tom,Texans D/ST,DEF,HOU,,,,,,,,,
2014,Gotham City Rogues,Dan,Chiefs D/ST,DEF,KC,,,,,,,,,
2014,Johnny Clipboards,Gavin,Ravens D/ST,DEF,BAL,,,,,,,,,
2014,Rapid City Monuments,TSizz,Bills D/ST,DEF,BUF,,,,,,,,,
2014,The Thirteenth District,James,Dolphins D/ST,DEF,MIA,,,,,,,,,
2014,Two First Names,Spear,49ers D/ST,DEF,SF,,,,,,,,,
2014,Brookfield Brawlers,Rob,Vikings D/ST,DEF,MIN,,,,,,,,,
2014,Team Charles,Charles,Seahawks D/ST,DEF,SEA,,,,,,,,,
2014,Team Foote Longs,Wes,Cardinals D/ST,DEF,ARI,,,,,,,,,
2014,Paper Thin Walls,Geoff,Packers D/ST,DEF,GB,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Matt Prater,K,DET,,,,,,,,,
2014,Eat The Sandwich,Spencer,Mason Crosby,K,GB,,,,,,,,,
2014,Salsa Dancing,Tom,Justin Tucker,K,BAL,,,,,,,,,
2014,Gotham City Rogues,Dan,Cody Parkey,K,PHI,,,,,,,,,
2014,Johnny Clipboards,Gavin,Adam Vinatieri,K,IND,,,,,,,,,
2014,Rapid City Monuments,TSizz,Phil Dawson,K,SF,,,,,,,,,
2014,The Thirteenth District,James,Dan Bailey,K,DAL,,,,,,,,,
2014,Two First Names,Spear,Stephen Gostkowski,K,NE,,,,,,,,,
2014,Brookfield Brawlers,Rob,Dan Carpenter,K,BUF,,,,,,,,,
2014,Team Charles,Charles,Nick Novak,K,LAC,,,,,,,,,
2014,Team Foote Longs,Wes,Caleb Sturgis,K,MIA,,,,,,,,,
2014,Paper Thin Walls,Geoff,Steven Hauschka,K,SEA,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Shane Vereen,RB,NYG,,,,,,,,,
2014,Eat The Sandwich,Spencer,Marques Colston,WR,NO,,,,,,,,,
2014,Salsa Dancing,Tom,Matthew Stafford,QB,DET,,,,,,,,,
2014,Gotham City Rogues,Dan,Rob Gronkowski,TE,NE,,,,,,,,,
2014,Johnny Clipboards,Gavin,Roddy White,WR,ATL,,,,,,,,,
2014,Rapid City Monuments,TSizz,Jared Cook,TE,LAR,,,,,,,,,
2014,The Thirteenth District,James,Michael Crabtree,WR,LV,,,,,,,,,
2014,Two First Names,Spear,Larry Fitzgerald,WR,ARI,,,,,,,,,
2014,Brookfield Brawlers,Rob,Jermaine Kearse,WR,SEA,,,,,,,,,
2014,Team Charles,Charles,Ben Tate,RB,PIT,,,,,,,,,
2014,Team Foote Longs,Wes,Ahmad Bradshaw,RB,IND,,,,,,,,,
2014,Paper Thin Walls,Geoff,Andre Ellington,RB,ARI,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Philip Rivers,QB,LAC,,,,,,,,,
2014,Eat The Sandwich,Spencer,Health Miller,TE,PIT,,,,,,,,,
2014,Salsa Dancing,Tom,Rashard Jennings,RB,NYG,,,,,,,,,
2014,Gotham City Rogues,Dan,Ryan Matthews,RB,PHI,,,,,,,,,
2014,Johnny Clipboards,Gavin,Steven Jackson,RB,ATL,,,,,,,,,
2014,Rapid City Monuments,TSizz,Steve Smith Sr.,WR,BAL,,,,,,,,,
2014,The Thirteenth District,James,Andy Dalton,QB,CIN,,,,,,,,,
2014,Two First Names,Spear,Dwayne Bowe,WR,CLE,,,,,,,,,
2014,Brookfield Brawlers,Rob,Scott Chandler,TE,NE,,,,,,,,,
2014,Team Charles,Charles,Lamar Miller,RB,MIA,,,,,,,,,
2014,Team Foote Longs,Wes,Owen Daniels,TE,DEN,,,,,,,,,
2014,Paper Thin Walls,Geoff,Reggie Wayne,WR,IND,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Jordan Matthews,RB,PHI,,,,,,,,,
2014,Eat The Sandwich,Spencer,Terrance West,RB,CLE,,,,,,,,,
2014,Salsa Dancing,Tom,Larry Donnell,TE,NYG,,,,,,,,,
2014,Gotham City Rogues,Dan,Josh Gordon,WR,CLE,,,,,,,,,
2014,Johnny Clipboards,Gavin,Terrance Williams,WR,DAL,,,,,,,,,
2014,Rapid City Monuments,TSizz,Fred Jackson,RB,BUF,,,,,,,,,
2014,The Thirteenth District,James,Andrew hawkins,WR,CLE,,,,,,,,,
2014,Two First Names,Spear,Adrian Peterson,RB,MIN,,,,,,,,,
2014,Brookfield Brawlers,Rob,Steelers D/ST,DEF,PIT,,,,,,,,,
2014,Team Charles,Charles,Chris Ivory,RB,NYJ,,,,,,,,,
2014,Team Foote Longs,Wes,Markus Wheaton,WR,PIT,,,,,,,,,
2014,Paper Thin Walls,Geoff,Chris Johnson,RB,NYJ,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Victor Cruz,WR,NYG,,,,,,,,,
2014,Eat The Sandwich,Spencer,Martavis Bryant,WR,PIT,,,,,,,,,
2014,Salsa Dancing,Tom,Ronnie Hillman,RB,DEN,,,,,,,,,
2014,Gotham City Rogues,Dan,Darren McFadden,RB,DAL,,,,,,,,,
2014,Johnny Clipboards,Gavin,Niles Paul,TE,WAS,,,,,,,,,
2014,Rapid City Monuments,TSizz,DeAndre Hopkins,WR,HOU,,,,,,,,,
2014,The Thirteenth District,James,Jordan Cameron,TE,MIA,,,,,,,,,
2014,Two First Names,Spear,Reggie Bush,RB,SF,,,,,,,,,
2014,Brookfield Brawlers,Rob,Travaris Cadet,RB,NE,,,,,,,,,
2014,Team Charles,Charles,Jeremy Hill,RB,CIN,,,,,,,,,
2014,Team Foote Longs,Wes,Brian Hoyer,QB,HOU,,,,,,,,,
2014,Paper Thin Walls,Geoff,Ben Roethlisberger,QB,PIT,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Doug Martin,RB,TB,,,,,,,,,
2014,Eat The Sandwich,Spencer,Eli Manning,QB,NYG,,,,,,,,,
2014,Salsa Dancing,Tom,LeGarrette BKount,RB,NE,,,,,,,,,
2014,Gotham City Rogues,Dan,Jonas Gray,RB,NE,,,,,,,,,
2014,Johnny Clipboards,Gavin,Levine Toilolo,TE,ATL,,,,,,,,,
2014,Rapid City Monuments,TSizz,Tom Brady,QB,NE,,,,,,,,,
2014,The Thirteenth District,James,Patriots D/ST,DEF,NE,,,,,,,,,
2014,Two First Names,Spear,Jermaine Gresham,TE,CIN,,,,,,,,,
2014,Brookfield Brawlers,Rob,Tony Romo,QB,DAL,,,,,,,,,
2014,Team Charles,Charles,James Starks,RB,GB,,,,,,,,,
2014,Team Foote Longs,Wes,Alex Smith,QB,KC,,,,,,,,,
2014,Paper Thin Walls,Geoff,Allen Hurns,WR,JAX,,,,,,,,,
2014,Caucasion Sasquatch,Ken,Trent Richardson,RB,LV,,,,,,,,,
2014,Eat The Sandwich,Spencer,Kenny Stills,WR,MIA,,,,,,,,,
2014,Salsa Dancing,Tom,Kerwynn Williams,RB,ARI,,,,,,,,,
2014,Gotham City Rogues,Dan,Kenny Britt,WR,LAR,,,,,,,,,
2014,Johnny Clipboards,Gavin,John Brown,WR,ARI,,,,,,,,,
2014,Rapid City Monuments,TSizz,Golden Tate,WR,DET,,,,,,,,,
2014,The Thirteenth District,James,Charles Johnson,WR,MIN,,,,,,,,,
2014,Two First Names,Spear,Devonta Freeman,RB,ATL,,,,,,,,,
2014,Brookfield Brawlers,Rob,Davante Adams,WR,GB,,,,,,,,,
2014,Team Charles,Charles,Knile Davis,RB,KC,,,,,,,,,
2014,Team Foote Longs,Wes,Jacquizz Rodgers,RB,DAL,,,,,,,,,
2014,Paper Thin Walls,Geoff,Jordan Reed,TE,WAS,,,,,,,,,
2014,Salsa Dancing,Tom,Keenan Allen,WR,LAC,,,,,,,,,
2014,Gotham City Rogues,Dan,Nick Foles,QB,LAR,,,,,,,,,
2014,The Thirteenth District,James,Allen Robinson,WR,JAX,,,,,,,,,
2015,Threat Level Midnight,Ken,Russell Wilson,QB,SEA,,,,,,,,,
2015,Eat The Sandwich,Spencer,Ryan Fitzpatrick,QB,NYJ,,,,,,,,,
2015,The Buzzards,Tom,Aaron Rodgers,QB,GB,,,,,,,,,
2015,Gotham City Rogues,Dan,Cam Newton,QB,CAR,,,,,,,,,
2015,Johnny Man-Zeer,Gavin,Tom Brady,QB,NE,,,,,,,,,
2015,Rapid City Monuments,TSizz,Ben Roethlisberger,QB,PIT,,,,,,,,,
2015,Republic City Fire Ferrets,James,Eli Manning,QB,NYG,,,,,,,,,
2015,AutoDrafted Scrubs,Spear,Carson Palmer,QB,ARI,,,,,,,,,
2015,Brookfield Brawlers,Rob,Drew Brees,QB,NO,,,,,,,,,
2015,LSC Stud Muffins,Dylan,Matt Ryan,QB,ATL,,,,,,,,,
2015,Team Foote Longs,Wes,Philip Rivers,QB,LAC,,,,,,,,,
2015,Paper Thin Walls,Geoff,Alex Smith,QB,KC,,,,,,,,,
2015,Threat Level Midnight,Ken,Danny Woodhead,RB,LAC,,,,,,,,,
2015,Eat The Sandwich,Spencer,Matt Forte,RB,NYJ,,,,,,,,,
2015,The Buzzards,Tom,Lamar Miller,RB,HOU,,,,,,,,,
2015,Gotham City Rogues,Dan,Doug Martin,RB,TB,,,,,,,,,
2015,Johnny Man-Zeer,Gavin,Frank Gore,RB,IND,,,,,,,,,
2015,Rapid City Monuments,TSizz,Chris Ivory,RB,JAX,,,,,,,,,
2015,Republic City Fire Ferrets,James,Ryan Mathews,RB,PHI,,,,,,,,,
2015,AutoDrafted Scrubs,Spear,Adrian Peterson,RB,MIN,,,,,,,,,
2015,Brookfield Brawlers,Rob,Jeremy Hill,RB,CIN,,,,,,,,,
2015,LSC Stud Muffins,Dylan,DeAngelo Williams,RB,PIT,,,,,,,,,
2015,Team Foote Longs,Wes,Melvin Gordon,RB,LAC,,,,,,,,,
2015,Paper Thin Walls,Geoff,Giovani Bernard,RB,CIN,,,,,,,,,
2015,Threat Level Midnight,Ken,Javorius Allen,RB,BAL,,,,,,,,,
2015,Eat The Sandwich,Spencer,TJ Yeldon,RB,JAX,,,,,,,,,
2015,The Buzzards,Tom,Jeremy Langford,RB,DAL,,,,,,,,,
2015,Gotham City Rogues,Dan,James White,RB,NE,,,,,,,,,
2015,Johnny Man-Zeer,Gavin,latavius Murray,RB,LV,,,,,,,,,
2015,Rapid City Monuments,TSizz,Darren Sproles,RB,PHI,,,,,,,,,
2015,Republic City Fire Ferrets,James,Cameron Artis-Payne,RB,CAR,,,,,,,,,
2015,AutoDrafted Scrubs,Spear,Devonta Freeman,RB,ATL,,,,,,,,,
2015,Brookfield Brawlers,Rob,David Johnson,RB,ARI,,,,,,,,,
2015,LSC Stud Muffins,Dylan,Thomas Rawls,RB,SEA,,,,,,,,,
2015,Team Foote Longs,Wes,Darren McFadden,RB,DAL,,,,,,,,,
2015,Paper Thin Walls,Geoff,CJ Spiller,RB,NO,,,,,,,,,
2015,Threat Level Midnight,Ken,Charcandrick West,RB,KC,,,,,,,,,
2015,Eat The Sandwich,Spencer,Theo Riddick,RB,DET,,,,,,,,,
2015,The Buzzards,Tom,Travis Benjamin,WR,LAC,,,,,,,,,
2015,Gotham City Rogues,Dan,TIm Hightower,RB,NO,,,,,,,,,
2015,Johnny Man-Zeer,Gavin,Nate Washington,WR,HOU,,,,,,,,,
2015,Rapid City Monuments,TSizz,Doug Baldwin,WR,SEA,,,,,,,,,
2015,Republic City Fire Ferrets,James,Tre Mason,RB,LAR,,,,,,,,,
2015,AutoDrafted Scrubs,Spear,Charles Sims,RB,TB,,,,,,,,,
2015,Brookfield Brawlers,Rob,Brandon Bolden,RB,NE,,,,,,,,,
2015,LSC Stud Muffins,Dylan,Davante Adams,WR,GB,,,,,,,,,
2015,Team Foote Longs,Wes,Michael Crabtree,WR,LV,,,,,,,,,
2015,Paper Thin Walls,Geoff,Julio Jones,WR,ATL,,,,,,,,,
2015,Threat Level Midnight,Ken,Demaryius Thomas,WR,DEN,,,,,,,,,
2015,Eat The Sandwich,Spencer,Vincent Jackson,WR,TB,,,,,,,,,
2015,The Buzzards,Tom,Mike Evans,WR,TB,,,,,,,,,
2015,Gotham City Rogues,Dan,Eric Decker,RB,NYJ,,,,,,,,,
2015,Johnny Man-Zeer,Gavin,Antonio Brown,WR,PIT,,,,,,,,,
2015,Rapid City Monuments,TSizz,DeAndre Hopkins,WR,HOU,,,,,,,,,
2015,Republic City Fire Ferrets,James,Odell Beckham Jr.,WR,NYG,,,,,,,,,
2015,AutoDrafted Scrubs,Spear,Perre Garcon,WR,WAS,,,,,,,,,
2015,Brookfield Brawlers,Rob,Danny Amendola,WR,NE,,,,,,,,,
2015,LSC Stud Muffins,Dylan,Donte Moncrief,WR,IND,,,,,,,,,
2015,Team Foote Longs,Wes,Brandon Marshall,WR,NYJ,,,,,,,,,
2015,Paper Thin Walls,Geoff,Emmanuel Sanders,WR,DEN,,,,,,,,,
2015,Threat Level Midnight,Ken,Sammy Watkins,WR,BUF,,,,,,,,,
2015,Eat The Sandwich,Spencer,John Brown,WR,ARI,,,,,,,,,
2015,The Buzzards,Tom,Allen Robinson,WR,JAX,,,,,,,,,
2015,Gotham City Rogues,Dan,Randall Cobb,WR,GB,,,,,,,,,
2015,Johnny Man-Zeer,Gavin,Martavis Bryant,WR,PIT,,,,,,,,,
2015,Rapid City Monuments,TSizz,Calvin Johnson,WR,DET,,,,,,,,,
2015,Republic City Fire Ferrets,James,Kamar Aiken,WR,BAL,,,,,,,,,
2015,AutoDrafted Scrubs,Spear,Golden Tate,WR,DET,,,,,,,,,
2015,Brookfield Brawlers,Rob,Tavon Austin,WR,LAR,,,,,,,,,
2015,LSC Stud Muffins,Dylan,Robert Woods,WR,BUF,,,,,,,,,
2015,Team Foote Longs,Wes,Markus Wheaton,WR,PIT,,,,,,,,,
2015,Paper Thin Walls,Geoff,Michael Floyd,WR,ARI,,,,,,,,,
2015,Threat Level Midnight,Ken,Willie Snead,WR,NO,,,,,,,,,
2015,Eat The Sandwich,Spencer,Jeremy Maclin,WR,KC,,,,,,,,,
2015,The Buzzards,Tom,AJ Green,WR,CIN,,,,,,,,,
2015,Gotham City Rogues,Dan,Larry Fitzgerald,WR,ARI,,,,,,,,,
2015,Johnny Man-Zeer,Gavin,Jarvis Landry,WR,MIA,,,,,,,,,
2015,Rapid City Monuments,TSizz,Amari Cooper,WR,LV,,,,,,,,,
2015,Republic City Fire Ferrets,James,Tyler Eifert,TE,CIN,,,,,,,,,
2015,AutoDrafted Scrubs,Spear,Travis Kelce,TE,KC,,,,,,,,,
2015,Brookfield Brawlers,Rob,Anquan Boldin,WR,SF,,,,,,,,,
2015,LSC Stud Muffins,Dylan,Jason Witten,TE,DAL,,,,,,,,,
2015,Team Foote Longs,Wes,Alshon Jeffery,WR,DAL,,,,,,,,,
2015,Paper Thin Walls,Geoff,Brandin Cooks,WR,NO,,,,,,,,,
2015,Threat Level Midnight,Ken,Antonio Gates,TE,LAC,,,,,,,,,
2015,Eat The Sandwich,Spencer,Greg Olsen,TE,CAR,,,,,,,,,
2015,The Buzzards,Tom,Benjamin Watson,TE,BAL,,,,,,,,,
2015,Gotham City Rogues,Dan,Rob Gronkowski,TE,NE,,,,,,,,,
2015,Johnny Man-Zeer,Gavin,Gary Barnidge,TE,CLE,,,,,,,,,
2015,Rapid City Monuments,TSizz,Jacob Tamme,TE,ATL,,,,,,,,,
2015,Republic City Fire Ferrets,James,Austin Seferian-Jenkins,TE,TB,,,,,,,,,
