Season,Team,Owner,Player Name,Position,NFL Team,,,,,,,,,
2012,Rapid City Monuments,TSizz,Brandon Stokley,WR,DEN,,,,,,,,,
2012,The Thirteenth District,James,Steve Johnson,WR,BUF,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Michael Crabtree,WR,SF,,,,,,,,,
2012,Team No College Yet,Dylan,Kenny Britt,WR,TEN,,,,,,,,,
2012,Team Charles,Charles,Leonard Hankerson,WR,WAS,,,,,,,,,
2012,Best Served Hot,Ed,Sidney Rice,WR,SEA,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Jimmy Graham,TE,NO,,,,,,,,,
2012,Team McFarland,Ken,Fred Davis,TE,WAS,,,,,,,,,
2012,Eat The Sandwich,Spencer,Jermichael Finley,TE,GB,,,,,,,,,
2012,Salsa Dancing,Tom,Antonio Gates,TE,LAC,,,,,,,,,
2012,Gotham City Rogues,Dan,Jermaine Gresham,TE,CIN,,,,,,,,,
2012,The Elite Eli's,Gavin,Jason Witten,TE,DAL,,,,,,,,,
2012,Rapid City Monuments,TSizz,Aaron Hernandez,TE,NE,,,,,,,,,
2012,The Thirteenth District,James,Rob Gronkowski,TE,NE,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Delanie Walker,TE,SF,,,,,,,,,
2012,Team No College Yet,Dylan,Owen Daniels,TE,HOU,,,,,,,,,
2012,Team Charles,Charles,Jacob Tamme,TE,DEN,,,,,,,,,
2012,Best Served Hot,Ed,Kyle Rudolph,TE,MIN,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Tony Gonzalez,TE,ATL,,,,,,,,,
2012,Team McFarland,Ken,Falcons D/ST,DEF,ATL,,,,,,,,,
2012,Eat The Sandwich,Spencer,Bills D/ST,DEF,BUF,,,,,,,,,
2012,Salsa Dancing,Tom,Broncos D/ST,DEF,DEN,,,,,,,,,
2012,Gotham City Rogues,Dan,Bengals D/ST,DEF,CIN,,,,,,,,,
2012,The Elite Eli's,Gavin,Jets D/ST,DEF,NYJ,,,,,,,,,
2012,Rapid City Monuments,TSizz,Dolphins D/ST,DEF,MIA,,,,,,,,,
2012,The Thirteenth District,James,Bears D/ST,DEF,CHI,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Chargers D/ST,DEF,LAC,,,,,,,,,
2012,Team No College Yet,Dylan,Cowboys D/ST,DEF,DAL,,,,,,,,,
2012,Team Charles,Charles,Steelers D/ST,DEF,PIT,,,,,,,,,
2012,Best Served Hot,Ed,Seahawks D/ST,DEF,SEA,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,49ers D/ST,DEF,SF,,,,,,,,,
2012,Team McFarland,Ken,Stephen Gostkowski,K,NE,,,,,,,,,
2012,Eat The Sandwich,Spencer,Matt Prater,K,DEN,,,,,,,,,
2012,Salsa Dancing,Tom,Justin Tucker,K,BAL,,,,,,,,,
2012,Gotham City Rogues,Dan,BKair Walsh,K,MIN,,,,,,,,,
2012,The Elite Eli's,Gavin,Mason Crosby,K,GB,,,,,,,,,
2012,Rapid City Monuments,TSizz,Phil Dawson,K,CLE,,,,,,,,,
2012,The Thirteenth District,James,Sebastian Janikowski,K,LV,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Shayne Graham,K,HOU,,,,,,,,,
2012,Team No College Yet,Dylan,Matt Bryant,K,ATL,,,,,,,,,
2012,Team Charles,Charles,Dan Bailey,K,DAL,,,,,,,,,
2012,Best Served Hot,Ed,Lawrence Tynes,K,NYG,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Jason Hanson,K,DET,,,,,,,,,
2012,Team McFarland,Ken,Carson Palmer,QB,LV,,,,,,,,,
2012,Eat The Sandwich,Spencer,Vernon Davis,TE,SF,,,,,,,,,
2012,Salsa Dancing,Tom,Maurice Jones-Drew,RB,JAX,,,,,,,,,
2012,Gotham City Rogues,Dan,Percy Harvin,WR,MIN,,,,,,,,,
2012,The Elite Eli's,Gavin,Kevin Smith,RB,DET,,,,,,,,,
2012,Rapid City Monuments,TSizz,Ravens D/ST,DEF,BAL,,,,,,,,,
2012,The Thirteenth District,James,Danny Ammendola,WR,LAR,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Roddy White,WR,ATL,,,,,,,,,
2012,Team No College Yet,Dylan,DeAngelo Williams,RB,CAR,,,,,,,,,
2012,Team Charles,Charles,Greg Jennings,WR,GB,,,,,,,,,
2012,Best Served Hot,Ed,Brandon Lloyd,WR,NE,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Willis McGahee,RB,DEN,,,,,,,,,
2012,Team McFarland,Ken,David Wilson,RB,NYG,,,,,,,,,
2012,Eat The Sandwich,Spencer,Texans D/ST,DEF,HOU,,,,,,,,,
2012,Salsa Dancing,Tom,Peyton Manning,QB,DEN,,,,,,,,,
2012,Gotham City Rogues,Dan,Matt Schaub,QB,HOU,,,,,,,,,
2012,The Elite Eli's,Gavin,Darrius Heyward-Bey,WR,LV,,,,,,,,,
2012,Rapid City Monuments,TSizz,Andy Dalton,QB,CIN,,,,,,,,,
