year,week,team,team_owner,team_score,opponent,opponent_owner,opponent_score,result,is_playoff,bracket_type,playoff_round,team_seed,opponent_seed
2012,10,Eat The Sandwich,Spencer,111.00,The Elite Eli's,Gavin,121.00,LOSS,FALSE,,,,
2012,10,Team McFarland,Ken,51.00,Team Charles,Charles,68.00,LOSS,FALSE,,,,
2012,10,The Thirteenth District,James,148.00,Team No College Yet,Dylan,98.00,WIN,FALSE,,,,
2012,11,Salsa Dancing,Tom,114.00,Rapid City Monuments,Tsizz,125.00,LOSS,FALSE,,,,
2012,11,Former ShepaugTeacher,Spear,119.00,Gotham City Rogues,Dan,121.00,LOSS,FALSE,,,,
2012,11,Wearing Sperrys Popping Cherrys,Carson,125.00,Eat The Sandwich,Spencer,96.00,WIN,FALSE,,,,
2012,11,The Elite Eli's,Gavin,129.00,Team McFarland,Ken,36.00,WIN,FALSE,,,,
2012,11,Team Charles,Charles,83.00,The Thirteenth District,James,122.00,LOSS,FALSE,,,,
2012,11,Team No College Yet,Dylan,107.00,Best Served Hot,Ed,51.00,WIN,FALSE,,,,
2012,12,Salsa Dancing,Tom,146.00,Gotham City Rogues,Dan,162.00,LOSS,FALSE,,,,
2012,12,Former ShepaugTeacher,Spear,121.00,Eat The Sandwich,Spencer,90.00,WIN,FALSE,,,,
2012,12,Wearing Sperrys Popping Cherrys,Carson,141.00,Team McFarland,Ken,67.00,WIN,FALSE,,,,
2012,12,The Elite Eli's,Gavin,112.00,The Thirteenth District,James,134.00,LOSS,FALSE,,,,
2012,12,Team Charles,Charles,129.00,Best Served Hot,Ed,140.00,LOSS,FALSE,,,,
2012,12,Team No College Yet,Dylan,80.00,Rapid City Monuments,Tsizz,71.00,WIN,FALSE,,,,
2012,13,Eat The Sandwich,Spencer,177.00,Salsa Dancing,Tom,141.00,WIN,FALSE,,,,
2012,13,Team McFarland,Ken,76.00,Former ShepaugTeacher,Spear,157.00,LOSS,FALSE,,,,
2012,13,The Thirteenth District,James,113.00,Wearing Sperrys Popping Cherrys,Carson,113.00,TIE,FALSE,,,,
2012,13,Best Served Hot,Ed,173.00,The Elite Eli's,Gavin,116.00,WIN,FALSE,,,,
2012,13,Rapid City Monuments,Tsizz,89.00,Team Charles,Charles,112.00,LOSS,FALSE,,,,
2012,13,Gotham City Rogues,Dan,126.00,Team No College Yet,Dylan,79.00,WIN,FALSE,,,,
2012,14,Former ShepaugTeacher,Spear,249.00,The Thirteenth District,James,211.00,WIN,TRUE,Winners,1,1,4
2012,14,Gotham City Rogues,Dan,234.00,Eat The Sandwich,Spencer,275.00,LOSS,TRUE,Winners,1,2,3
2012,14,Wearing Sperrys Popping Cherrys,Carson,216.00,Salsa Dancing,Tom,284.00,LOSS,TRUE,Consolation,1,5,6
2012,14,The Elite Eli's,Gavin,245.00,Best Served Hot,Ed,310.00,LOSS,TRUE,Consolation,1,7,8
2012,14,Team Charles,Charles,199.00,Team No College Yet,Dylan,136.00,WIN,TRUE,Consolation,1,9,10
2012,14,Rapid City Monuments,Tsizz,248.00,Team McFarland,Ken,97.00,WIN,TRUE,Consolation,1,11,12
2012,15,Former ShepaugTeacher,Spear,268.00,Eat The Sandwich,Spencer,297.00,LOSS,TRUE,Winners,2,1,3
2012,15,Gotham City Rogues,Dan,287.00,The Thirteenth District,James,240.00,WIN,TRUE,Winners,2,2,4
2012,15,Salsa Dancing,Tom,285.00,Best Served Hot,Ed,276.00,WIN,TRUE,Consolation,2,6,8
2012,15,Wearing Sperrys Popping Cherrys,Carson,208.00,Team Charles,Charles,197.00,WIN,TRUE,Consolation,2,5,9
2012,15,The Elite Eli's,Gavin,236.00,Rapid City Monuments,Tsizz,209.00,WIN,TRUE,Consolation,2,7,11
2012,15,Team No College Yet,Dylan,133.00,Team McFarland,Ken,93.00,WIN,TRUE,Consolation,2,10,12
2013,1,Salsa Dancing,Tom,155.60,Gotham City Rogues,Dan,110.00,WIN,FALSE,,,,
2013,1,Former ShepaugTeacher,Spear,134.40,The Elite Eli's,Gavin,118.80,WIN,FALSE,,,,
2013,1,Best Served Hot,Ed,161.80,The Thirteenth District,James,128.00,WIN,FALSE,,,,
2013,1,Caucasion Sasquatch,Ken,114.70,Eat The Sandwich,Spencer,127.70,LOSS,FALSE,,,,
2013,1,Team No College Yet,Dylan,124.70,Wearing Sperrys Popping Cherrys,Carson,188.50,LOSS,FALSE,,,,
2013,1,Team Charles,Charles,182.30,Rapid City Monuments,Tsizz,125.00,WIN,FALSE,,,,
2013,2,Gotham City Rogues,Dan,173.30,Caucasion Sasquatch,Ken,123.70,WIN,FALSE,,,,
2013,2,The Thirteenth District,James,140.30,Eat The Sandwich,Spencer,169.00,LOSS,FALSE,,,,
2013,2,Best Served Hot,Ed,121.60,Rapid City Monuments,Tsizz,154.90,LOSS,FALSE,,,,
2013,2,Salsa Dancing,Tom,126.60,Wearing Sperrys Popping Cherrys,Carson,119.30,WIN,FALSE,,,,
2013,2,The Elite Eli's,Gavin,151.50,Former ShepaugTeacher,Spear,147.90,WIN,FALSE,,,,
2013,2,Team Charles,Charles,91.40,Team No College Yet,Dylan,164.40,LOSS,FALSE,,,,
2013,3,The Thirteenth District,James,115.10,Gotham City Rogues,Dan,81.20,WIN,FALSE,,,,
2013,3,Caucasion Sasquatch,Ken,88.40,Best Served Hot,Ed,143.60,LOSS,FALSE,,,,
2013,3,Eat The Sandwich,Spencer,158.40,Rapid City Monuments,Tsizz,121.60,WIN,FALSE,,,,
2013,3,The Elite Eli's,Gavin,122.20,Salsa Dancing,Tom,88.00,WIN,FALSE,,,,
2013,3,Wearing Sperrys Popping Cherrys,Carson,133.40,Team Charles,Charles,113.00,WIN,FALSE,,,,
2013,3,Former ShepaugTeacher,Spear,100.80,Team No College Yet,Dylan,128.90,LOSS,FALSE,,,,
2013,4,Gotham City Rogues,Dan,118.80,Best Served Hot,Ed,137.30,LOSS,FALSE,,,,
2013,4,Rapid City Monuments,Tsizz,141.70,The Thirteenth District,James,162.40,LOSS,FALSE,,,,
2013,4,Eat The Sandwich,Spencer,157.10,Caucasion Sasquatch,Ken,166.40,LOSS,FALSE,,,,
2013,4,Salsa Dancing,Tom,105.40,Team Charles,Charles,140.70,LOSS,FALSE,,,,
2013,4,Team No College Yet,Dylan,130.10,The Elite Eli's,Gavin,80.20,WIN,FALSE,,,,
2013,4,Former ShepaugTeacher,Spear,95.40,Wearing Sperrys Popping Cherrys,Carson,174.50,LOSS,FALSE,,,,
2013,5,Rapid City Monuments,Tsizz,162.50,Gotham City Rogues,Dan,125.70,WIN,FALSE,,,,
2013,5,Best Served Hot,Ed,78.50,Eat The Sandwich,Spencer,146.60,LOSS,FALSE,,,,
2013,5,The Thirteenth District,James,165.70,Caucasion Sasquatch,Ken,177.40,LOSS,FALSE,,,,
2013,5,Team No College Yet,Dylan,147.00,Salsa Dancing,Tom,109.10,WIN,FALSE,,,,
2013,5,Team Charles,Charles,120.40,Former ShepaugTeacher,Spear,71.40,WIN,FALSE,,,,
2013,5,The Elite Eli's,Gavin,121.50,Wearing Sperrys Popping Cherrys,Carson,186.30,LOSS,FALSE,,,,
2013,6,Gotham City Rogues,Dan,113.60,Salsa Dancing,Tom,165.90,LOSS,FALSE,,,,
2013,6,Eat The Sandwich,Spencer,144.20,Former ShepaugTeacher,Spear,83.40,WIN,FALSE,,,,
2013,6,Caucasion Sasquatch,Ken,95.90,Wearing Sperrys Popping Cherrys,Carson,114.70,LOSS,FALSE,,,,
2013,6,The Thirteenth District,James,109.50,The Elite Eli's,Gavin,95.60,WIN,FALSE,,,,
2013,6,Best Served Hot,Ed,108.90,Team Charles,Charles,111.00,LOSS,FALSE,,,,
2013,6,Rapid City Monuments,Tsizz,136.10,Team No College Yet,Dylan,135.90,WIN,FALSE,,,,
